Designator,Mid X,Mid Y,Rotation,Layer
BT1,216.5,-72.5,0.0,bottom
D1,204.495,-54.5,0.0,top
D2,227.27,-54.5,180.0,top
R1,187.5,-74.5,270.0,bottom
R2,244.5,-73.0,270.0,bottom
SW1,216.5,-93.5,0.0,top
